[15/May/2024:08:26:54 +0000] 192.168.65.1 315c49b381eddd1c73362e0f9ac004d7 GET /wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 7f69cc0eb5787f62c957a689d03fd993 GET /favicon.ico HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 defa36535ef8849251f3646a451c269c GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.1
[15/May/2024:08:37:52 +0000] 192.168.65.1 679268ec76b6eb73e1bdd69a134b9a11 GET / HTTP/1.1
[15/May/2024:08:37:52 +0000] 192.168.65.1 a67ede213ec65a603d48e649a1e5c994 GET /favicon.ico HTTP/1.1
[15/May/2024:08:42:27 +0000] 192.168.65.1 410b654256eb35a70ad1b65ec93954fc GET / HTTP/1.1
[15/May/2024:11:50:25 +0000] 192.168.65.1 ec2d9b59d228cb7f44b7b1fd803b3cfc GET / HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 889e787394af200dd7257b8a2ba6ffd0 GET / HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 b9136cc6ee21c995ad67d67115e81622 GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 e60e39db43ae0d5d2a1a4c6fc0aea306 GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 5aebecfe7c1de601bf5430f5b9d4c991 GET /wp-content/themes/twentytwentyfour/assets/images/windows.webp HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 4f5d56ea524e5de9ecb378571c2dc1bf GET /wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 5045f2321c2ea7d0fed3aef55d2d17a8 GET /wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 084aae7a474c803f6dee3afb415dffa2 GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 2dcfc14ca916caf662c45b40a0421e64 GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 7d1b21f8b4d866088ba9e71ec4bd0996 GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 d960030f56480d01d5c14fda1e81ec46 GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 c5291e684542da3480bf95a78037db70 GET /wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2 HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 cdb8d9b137aabd480e5f5778eedadfa0 GET /favicon.ico HTTP/1.1
[15/May/2024:13:48:31 +0000] 192.168.65.1 d7eef0c3d8f48b2cd3997df8fc95503d GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.1
[15/May/2024:13:48:44 +0000] 192.168.65.1 a8869f3999588e18e38d4b3e13c6760e GET / HTTP/1.1
[15/May/2024:13:48:44 +0000] 192.168.65.1 86a4ac93999730f9c9e1ca4bb4d53db3 GET /favicon.ico HTTP/1.1
[15/May/2024:13:49:54 +0000] 192.168.65.1 09e726129323040024a3c078b2817541 GET / HTTP/1.1
[15/May/2024:15:14:17 +0000] 192.168.65.1 10adf60396ada11a07a9aaba38d5ea3f GET / HTTP/1.1
[15/May/2024:15:14:17 +0000] 192.168.65.1 16dcec2ffb3b08361bf76b35d38d0ab0 GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:15:14:17 +0000] 192.168.65.1 d2b69521b916eca81ecb56d749d279a2 GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:15:14:17 +0000] 192.168.65.1 0e9dd9559e729aa365da1ad822f30015 GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:15:14:17 +0000] 192.168.65.1 abe523c875844b1c060fc2ccc09c9e65 GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 d9c993ae396ebc61b9a859a8651ca162 GET / HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 a828e95a64c02706a80a6196c45cf16b GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 d22226479971e5185d436e4d2d60e37f GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 6dd6730436c9dd8a228887be609a44a4 GET /wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 a7a8ade6bb9ab68fbe139fa7747a3218 GET /wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 896ae92fe5dabd22ba97f7b1316431a1 GET /wp-content/themes/twentytwentyfour/assets/images/windows.webp HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 2552c92d88bd9633d22966bff3fe3c7a GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 4256df5daff82d60376e90bcb88bd3e7 GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 1ffe40601cb3d8f0b4bfcb837dc965a9 GET /wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 861c014c9b4300370c3d13de515d64d2 GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 cdc085db4b77a0efbb0bdcaec2177bcc GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2 HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 9cc84bc98d6e5f20dd6491ee4e832108 GET /favicon.ico HTTP/1.1
[15/May/2024:15:17:09 +0000] 192.168.65.1 2393c4903a95323aafd98cc8b556ca81 GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.1
[15/May/2024:16:17:14 +0000] 192.168.65.1 438903eb608ca53d1b5ebd73c59892b1 GET / HTTP/1.1
[15/May/2024:16:17:14 +0000] 192.168.65.1 c98b5a15643f3703d9d95f652460999a GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:16:17:14 +0000] 192.168.65.1 9aced2867a9b99c3f09cae2bba9a1687 GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:16:17:14 +0000] 192.168.65.1 557ee69f2ae748a8ce60feeb047c58dd GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:16:17:14 +0000] 192.168.65.1 4172c0186359344d9c5c5cad9ce757ad GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:16:25:53 +0000] 192.168.65.1 e27dbf4ae992697a13c092deaab73b90 GET / HTTP/1.1
[15/May/2024:16:25:53 +0000] 192.168.65.1 e0df3c7dfac72b7eccb692906f463b9f GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:16:25:53 +0000] 192.168.65.1 c75ba3d4e6251ef7021cbfd19c27b7a0 GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:16:25:53 +0000] 192.168.65.1 ab500c6db6f7f8fdeb45066fa07472ec GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:16:25:53 +0000] 192.168.65.1 a93d75fd3de1f0e8c684de32b515f433 GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:16:29:37 +0000] 192.168.65.1 8050f5208e5dc6827b4d2e99c03d8adc GET / HTTP/1.1
